-,-,-
-2, 4, 994
-28, 30, 992
-28, 30, 992
-1, 3, 996
19, 29, 996
-1, 15, 994
-1, 15, 994
-269, -93, 997
-519, -160, 991
-602, -122, 989
-511, -178, 991
-376, -166, 977
-81, -121, 996
-81, -121, 996
449, -55, 1008
1257, 73, 986
1294, 145, 1001
1636, -103, 1007
1081, -36, 986
116, 16, 1010
116, 16, 1010
-737, 60, 980
-1798, 381, 970
-1327, -257, 932
-1260, -115, 990
-937, -180, 977
-318, -365, 1009
215, -215, 976
1233, -258, 996
1852, -26, 1002
1852, -26, 1002
1617, 25, 995
1704, 14, 1014
567, -64, 986
-455, 56, 997
-1896, 689, 965
-1178, -487, 1003
-1147, -44, 984
-1020, 84, 996
-1020, 84, 996
-363, -280, 986
-114, -101, 979
607, -28, 1002
1654, -136, 997
1324, -5, 973
1661, 147, 998
994, -52, 972
994, -52, 972
438, -62, 1006
-80, -191, 1005
-696, -470, 954
-1228, -363, 994
-1441, 30, 984
-864, -556, 986
-770, -181, 1005
-598, -7, 962
-598, -7, 962
-287, 145, 995
131, 349, 1017
516, 397, 990
1009, 352, 993
1260, 226, 982
1260, 226, 982
1307, 431, 999
1147, -53, 1003
704, -308, 997
99, -404, 974
-526, -589, 974
-1007, -624, 968
-1444, -151, 874
-835, -374, 989
-835, -374, 989
-721, -38, 1003
-267, 188, 991
5, 392, 999
-,-,-
63, -88, 890
63, -88, 890
1, 6, 1009
2, 10, 992
2, 10, 992
-52, -37, 984
-17, -6, 1011
-220, -10, 996
-220, -10, 996
-536, 4, 977
-595, -55, 996
-587, -66, 991
-476, -104, 994
-224, -134, 990
215, -97, 1008
787, 43, 1002
787, 43, 1002
1325, 185, 998
1072, -29, 988
1351, 55, 1017
1297, 133, 1001
904, 26, 996
904, 26, 996
403, -56, 994
-452, -185, 977
-1434, -271, 855
-1980, -261, 1009
-1731, -175, 990
-1829, -139, 974
-1112, -181, 997
-74, -148, 980
732, -39, 1033
732, -39, 1033
1335, -6, 984
1805, 8, 984
1206, -65, 1007
1458, 63, 1014
1009, 15, 987
1009, 15, 987
417, -86, 1007
-559, -241, 969
-1469, -420, 896
-1730, -78, 987
-1107, -112, 995
-,-,-
246, 45, 1008
246, 45, 1008
174, 104, 977
354, 110, 1004
456, 150, 1002
530, 166, 972
530, 166, 972
445, 128, 998
-20, -19, 982
-860, -224, 919
-1279, -482, 1004
-1030, 54, 1018
-812, -200, 1207
-610, -99, 989
-81, -23, 477
-81, -23, 477
505, 86, 635
1259, -40, 720
897, -41, 1019
810, -89, 979
810, -89, 979
1249, -68, 1004
862, -17, 1001
463, 27, 978
-360, -86, 926
-1358, -251, 979
-1861, -111, 1005
-1747, -282, 977
-1757, -81, 983
-968, -145, 996
-968, -145, 996
-29, -126, 960
667, -46, 1000
1278, -19, 1009
1752, 1, 1019
1277, -3, 944
1372, -8, 1005
1372, -8, 1005
967, -59, 976
785, 7, 1020
442, -69, 967
-31, -143, 983
-503, -229, 791
-503, -229, 791
-986, -166, 1000
-1021, -5, 984
-900, -3, 996
-390, -43, 997
-159, 142, 1000
-112, 43, 993
-53, 33, 993
-53, 33, 993
-42, 29, 993
-,-,-
-246, -135, 1002
-637, -264, 974
-742, -384, 996
-875, -254, 1002
-669, 22, 980
-423, -123, 1000
46, 64, 986
46, 64, 986
515, 222, 1008
1069, 288, 1015
1533, 114, 977
736, -116, 989
736, -116, 989
1087, -183, 1010
1218, -101, 989
905, -41, 1001
533, 126, 985
248, -61, 1000
-255, -91, 977
-1005, -346, 897
-1656, -186, 1000
-1489, -78, 979
-1780, -125, 988
-1780, -125, 988
-1406, -132, 991
-676, -203, 988
173, -8, 993
787, 6, 1002
1358, 12, 995
1773, -70, 987
1773, -70, 987
1073, -103, 1012
1482, 11, 998
1061, 48, 995
804, 91, 999
361, -123, 973
-364, -316, 1010
-1270, -262, 843
-1270, -262, 843
-1879, -264, 995
-1685, -106, 1001
-1956, -112, 960
-1482, -115, 998
-842, -258, 982
-44, -167, 976
435, -153, 1004
829, -219, 987
1314, -78, 878
1553, -33, 1026
1029, -38, 993
1369, -28, 982
1369, -28, 982
1437, 113, 1019
1238, 60, 945
665, -82, 1008
102, -158, 980
-403, -220, 967
-850, -175, 828
-1384, -272, 927
-1501, -101, 1004
-,-,-
-68, -114, 980
-418, -103, 1005
-251, -155, 988
-167, -2, 1003
-447, -40, 978
-732, -82, 1004
-732, -82, 1004
-931, -82, 977
-723, 39, 995
-342, 71, 1001
-11, -4, 983
279, -86, 934
279, -86, 934
897, -30, 989
1215, 15, 987
1563, -23, 991
1120, 33, 1006
1441, 89, 1005
1441, 89, 1005
1451, 202, 1006
1210, 107, 983
777, -29, 987
441, -23, 1012
-30, -261, 984
-787, -296, 797
-1752, -593, 976
-1995, -593, 972
-1995, -470, 972
-1866, -415, 988
-1990, -135, 964
-1775, -97, 1008
-915, -218, 958
9, -173, 1002
454, -220, 997
1069, -225, 990
1549, -161, 982
1902, -120, 987
1173, -242, 993
1427, -305, 1017
1486, -111, 946
1486, -111, 946
1089, -29, 1002
489, 14, 977
0, -71, 1018
-574, -161, 981
-1127, -296, 983
-1713, -201, 795
-1564, 14, 984
-1614, -143, 980
-1614, -143, 980
-1648, -85, 979
-933, -45, 976
-346, -49, 992
-27, -90, 964
568, -65, 1027
1121, -60, 739
1366, -120, 1009
1544, -236, 1008
459, -40, 997
459, -40, 997
881, -6, 998
1000, 131, 1010
956, 128, 988
782, 10, 992
782, 10, 992
375, -73, 967
173, -18, 1029
-,-,-
337, 293, 757
-310, -187, 507
48, 12, 1011
48, 12, 1011
-43, -15, 974
-30, -19, 1013
0, 10, 995
3, 3, 986
3, 3, 986
1, 9, 1002
1, 9, 1002
3, 8, 994
1, 7, 994
